           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    3.98657911   8.91610193   8.23511196   6.57025862 2.42877401
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    1.98991811  12.93445767   6.96471088   7.00421283 2.54814738
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.26865898   0.79375589   0.54742631   0.54796050 0.09560602
7    0.00000001  20.11243659   0.00000001   1.43008262 4.98656695
8    0.00124394   9.71083342   0.30265291   1.09721321 2.20217734
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.23822220 100.38259705 100.29088020 100.29102917 0.03436479
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 159.36873364 163.49483520 161.40488076 161.38634058 0.95973599
