           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   44.89546932  49.08447898  49.08447898  48.94484532  0.75195025
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    9.99687953  68.62395168  24.19886778  28.90372248 13.73792967
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    4.17722405 160.68242653  19.59762410  30.24275323 35.71657330
7    1.30713231  64.17562164  22.95726504  24.02714444  9.65593428
8   17.72587297  24.43651547  21.75622754  21.91147000  1.15774423
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10  65.79747758 349.02544576 100.31047574 122.00823871 64.95662798
11 300.00000000 400.00000000 300.00000000 316.66666667 37.26779962
12 231.95063763 257.18378250 238.58049934 239.63504248  4.87819044
