           Best        Worst       Median         Mean         Std
1    0.02582835  16.59326724   0.47903311   1.44915101  3.02501674
2    0.00233604   8.91610193   6.37161420   5.57519705  3.59068594
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    5.05708413  10.66919955   7.72107835   7.78825866  1.54363475
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    2.29462535  34.38201073   5.12433073   6.68870536  5.76583049
7    0.00000014   0.17976761   0.00020016   0.01610226  0.04441422
8    0.25449140  20.75899588   3.11126005   4.97127305  6.02810737
9  229.28438271 229.28438271 229.28438271 229.28438271  0.00000000
10 100.20889372 100.48428723 100.27721977 100.28863624  0.06329525
11   0.00000001 150.42716385   0.00000001  17.26684777 45.96837980
12 158.61851170 161.43528817 161.17035042 160.21278683  1.28147080
