           Best         Worst        Median          Mean           Std
1    0.00000001    0.00000001    0.00000001    0.00000001    0.00000000
2    6.70175371   49.08447898   49.08447898   44.46062650   12.53844813
3    0.00000001    0.00000001    0.00000001    0.00000001    0.00000000
4   18.01612545   40.95455244   29.30177412   28.68912376    5.10496907
5    0.00000001    0.08952926    0.00000001    0.00895363    0.02685832
6  327.17676538 7152.43059091 1747.32604562 2060.46747791 1468.34786314
7    3.98464570   23.65351946   21.49307749   17.25665220    7.00908842
8   21.68309456   23.00648041   22.35701378   22.34655885    0.37977730
9  180.78127168  180.78127168  180.78127168  180.78127168    0.00000000
10   3.66533110  204.00958925  100.30012230   95.91429901   54.53515467
11 300.00000000  400.01992936  300.00000000  340.00126016   48.99133843
12 231.97812723  243.02073315  235.03996829  236.03312450    2.73535547
