            Best         Worst        Median          Mean           Std
1  1118.72820664 5580.36979077 3299.42546221 3246.62968202 1103.98741844
2     0.31168948    8.91610193    8.91610193    7.69733846    1.74540437
3     0.00000001    0.00000001    0.00000001    0.00000001    0.00000000
4     5.47387389   14.04693338   10.82076001   10.53078716    2.17511071
5     0.00000001    0.23803917    0.00372502    0.05776867    0.07978914
6   163.27613395 2326.08705314  832.60057079  899.31853437  517.42779294
7     0.30636257    6.25338404    3.15602629    3.05056212    1.26199784
8     5.99172450   21.42345263   13.42815386   13.26678939    4.33901022
9   229.28438271  229.28438271  229.28438271  229.28438271    0.00000000
10  100.28811109  100.46870050  100.36563344  100.37217097    0.05414627
11    0.00000001    0.00000001    0.00000001    0.00000001    0.00000000
12  158.66241751  161.40566897  159.52099444  159.70344448    0.87089167
