           Best          Worst       Median          Mean           Std
1    0.00000001     0.00000001   0.00000001    0.00000001    0.00000000
2   49.08447898    49.08447898  49.08447898   49.08447898    0.00000000
3    0.00000001     0.00000001   0.00000001    0.00000001    0.00000000
4    4.97479529    22.85533980  10.91837040   11.60469081    4.06919372
5    0.00000001     0.00000001   0.00000001    0.00000001    0.00000000
6    0.14477228 11083.78152453   5.16033881 1800.77796821 3341.03672973
7   12.05830192    31.00530589  25.59203075   25.34500411    3.22091303
8   21.98672602    23.52209030  22.90136388   22.89842168    0.37227768
9  180.78127168   180.78127168 180.78127168  180.78127168    0.00000000
10   0.00000001   100.59462018 100.34583690   78.06292831   38.41697183
11 300.00000000   400.00000000 300.00000000  307.02017196   24.92253663
12 229.81858658   242.82427009 233.97433236  234.39141919    2.57998671
