           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000126   0.00000001   0.00000009 0.00000024
2    0.00641916   8.91610193   8.91610193   6.18052603 3.29112920
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    1.99334930   7.97336708   4.00711007   4.23721312 1.24601833
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.35614594   9.59434646   1.79399358   2.12716596 1.71072430
7    0.00000001   0.99579063   0.00000174   0.03720303 0.17834060
8    0.16302496   4.57456343   1.00852799   1.01913061 0.84276295
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.18026497 100.28744171 100.22931054 100.23147517 0.02756097
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 158.61835786 159.31857643 1.16576034
