           Best         Worst       Median         Mean          Std
1    0.00000002    0.00003515   0.00000067   0.00000347   0.00000712
2   44.89546932   49.08447898  49.08447898  48.94484532   0.75195025
3    0.00000001    0.00000001   0.00000001   0.00000001   0.00000000
4    8.98317288   21.02840651  16.94089455  16.47597351   3.16799725
5    0.00000001    0.00002563   0.00000001   0.00000088   0.00000460
6   29.33716585 2607.19794457 113.85280411 314.78787348 626.40072799
7    3.63615990   21.86400644   8.80276473  11.46237356   6.57606881
8   17.07988928   21.02743892  20.67650144  20.44667411   0.75264064
9  180.78127168  180.78127168 180.78127168 180.78127168   0.00000000
10 100.24719850  100.50040238 100.32713209 100.32331614   0.04531689
11 300.00000000  400.00000000 300.00000000 346.66666667  49.88876516
12 230.76836977  235.22946926 232.11998671 232.64173947   1.03452130
