           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    3.98657911   8.91610193   3.98657911   5.13680110 2.08495442
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    1.99195585   7.96278289   3.98225322   4.33434846 1.42378775
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.06623081   0.49894756   0.37866935   0.34693970 0.12324722
7    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
8    0.04171734   0.79010505   0.16218032   0.28065877 0.25513552
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.15431978 100.29711960 100.24373888 100.24186651 0.03263200
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 160.47432852 160.21004513 1.23263114
