           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   49.08447898  49.08447898  49.08447898  49.08447898  0.00000000
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    8.95463151  20.91687163  12.44112171  13.07175809  2.91825496
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.16610386  68.18335845  12.35007428  17.00167751 16.53740270
7    1.99121630  21.59036042  16.56427221  14.24375241  7.16570181
8   20.21118765  20.97147756  20.68252897  20.63843120  0.16920805
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10   0.06246071 100.41806551 100.35614735  97.01204007 18.00311396
11 300.00000000 300.00000000 300.00000000 300.00000000  0.00000000
12 231.95063763 238.85879775 233.97430095 233.93943128  1.51667226
