           Best        Worst       Median         Mean         Std
1   33.58694933 234.86268760 115.84810064 123.27220885 48.25462005
2    0.40896592   7.99174720   6.88416338   5.78272751  2.51587226
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    5.21986058  14.16536971   9.65030243   9.65108496  2.44426345
5    0.00000001   0.00005093   0.00000001   0.00000176  0.00000914
6   10.23396472 100.20994746  23.48845721  28.16487055 20.07258204
7    0.00000001   1.36889387   0.00000037   0.04851891  0.24536553
8    0.33890236  17.34915826   5.87550574   6.63769658  4.14078656
9  229.28438271 229.28438271 229.28438271 229.28438271  0.00000000
10   0.06245863 100.45109925  16.77874444  38.63738070 40.87105691
11   0.00000001 150.42716988   0.00787824  13.28727814 31.92991054
12 158.61898599 161.44316952 159.23673961 159.48209903  0.97068096
