            Best          Worst        Median          Mean           Std
1     0.00000022     0.00214126    0.00000876    0.00009749    0.00038178
2    28.56994441    49.08447898   49.08447898   46.32542702    4.81765046
3     0.00000001     0.00000001    0.00000001    0.00000001    0.00000000
4    19.42628496    46.79981370   30.02946466   30.42480637    6.39427464
5     0.00032390     3.85651525    0.74325280    1.11235380    1.12387692
6  1227.04055333 17461.09412528 6578.13487353 6899.47838198 3109.98428740
7     5.89379494    24.01219788   17.62652194   16.84375346    5.32158389
8    21.80314521    22.75799431   22.19922745   22.21993344    0.27666974
9   180.78127168   180.78127168  180.78127168  180.78127168    0.00000000
10    0.03123057    26.92965399    0.12491913    2.02925172    5.89069690
11  135.59018726   300.00000000  300.00000000  289.49514508   34.25444365
12  232.77909806   239.57464597  235.70191544  235.67599109    1.41288892
