            Best          Worst        Median          Mean           Std
1  2028.21632942  6785.51655762 4350.19988377 4413.89237431 1356.97895389
2    44.89546932    49.08447898   49.08447898   48.52594436    1.42398947
3     0.00001027     0.00004682    0.00001766    0.00001847    0.00000691
4     9.94959263    54.13882691   26.36351480   28.54542649   11.77009799
5     0.00000001     0.00000001    0.00000001    0.00000001    0.00000000
6    35.52837716 15978.80077102  164.14700470 1721.45521405 3846.41640625
7    17.54997633    40.85454752   22.46485535   23.79074234    4.51952261
8     3.76631251    24.76179316   22.95848513   22.28168344    3.59230157
9   180.78127168   180.78127168  180.78127168  180.78127168    0.00000000
10   44.14328864   473.93345248  100.56452830  115.18863226   71.37355722
11  300.00000008   400.00001486  300.00000052  316.66666795   37.26780137
12  233.97430095   243.55225729  239.80181412  239.19289291    2.67824399
