           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   44.89546932  49.08447898  49.08447898  48.52594436  1.42398947
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    8.95463151  57.79904151  28.44059401  30.06931410 12.88511150
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.83511395 109.09644997  16.00171483  29.60153113 33.54909973
7   20.07673994  38.63119782  23.06668266  23.76990732  3.27110612
8   17.63705570  24.01477739  21.38601913  21.57114392  1.15075637
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10  38.68608213 239.92475994 100.33973796 106.67914695 30.56105946
11 300.00000000 400.00000000 300.00000000 330.00000000 45.82575695
12 233.97430095 244.43298018 237.93290137 238.42634884  2.80917277
