           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    3.98657917   8.91610193   3.98657950   6.12270580 2.44275405
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    2.98487717  21.54881305   4.97479529   6.58414898 3.59224115
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.46294847   1.02804373   0.64216193   0.68666998 0.15927019
7    0.00000001  20.62554204   0.00000135   5.31473971 8.62156312
8    0.00055781  17.94866205   0.27835077   1.64816962 4.11742497
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.19008658 100.38325610 100.30097781 100.29474641 0.04626988
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 163.49483520 161.40488076 161.02500650 1.28806737
