           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   44.89546932  49.08447898  49.08447898  48.38631070  1.56115173
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4   11.93950869  47.54241370  27.85537605  26.73681082  9.83947729
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    1.20491296 117.05290522  23.22092266  34.44857776 31.79062876
7    1.30713231  61.42949431  24.37933398  25.91228875  9.47607404
8   13.05470281  23.23781800  22.03629989  21.63775521  1.76503515
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10  43.89865851 217.12380767 100.32782637 119.43071908 41.51790140
11 300.00000000 400.00000000 300.00000000 313.33333333 33.99346342
12 233.97633813 242.48927083 239.64529086 238.80588082  2.47882603
