           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    3.98657915   8.91610193   3.98657975   6.12270582 2.44275403
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    2.98487717  15.14760199   6.46723387   6.67952532 2.42965744
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.35168296   1.33489516   0.61221306   0.67776999 0.20015551
7    0.00000001  20.99732088   0.00022059   6.14914388 9.16999908
8    0.00265066  20.66364155   0.36545217   1.81738602 5.03831552
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.25167016 100.37387951 100.30470456 100.30492096 0.03108106
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 163.49483520 161.40488076 161.01892294 1.29542361
