           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   44.89546932  49.08447898  49.08447898  48.38631070  1.56115173
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4   11.93950869  47.54241370  27.85537605  26.73681082  9.83947729
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    1.23161123 118.71577398  24.17136988  34.61260036 31.49503144
7    1.30713231  61.42949431  24.39272857  25.49837071 10.24440585
8    9.47992750  23.23781800  21.96516059  21.51917533  2.36040789
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10  43.89865851 217.12380767 100.33542282 119.42799278 41.51916295
11 300.00000000 400.00000000 300.00000000 313.33333333 33.99346342
12 233.97633813 242.48927083 239.64529086 238.80588082  2.47882603
