           Best          Worst        Median           Mean            Std
1    0.00000001     0.00649493    0.00000001     0.00028860     0.00116366
2    1.89246504    44.89546932   37.02708265    26.76691163    18.82399014
3    0.00000001     0.00000001    0.00000001     0.00000001     0.00000000
4   12.96018317    31.88192725   25.92008537    25.39030661     4.42369166
5    0.08958835    69.60528376   27.42516892    29.36703035    16.04379569
6  177.55912183 23234.78051151 2400.08715012 10118.38482653 10433.01669466
7    4.05494711    22.54603505   21.42434346    18.80523137     5.12298656
8   20.68861195    21.41181024   21.04028062    21.01015942     0.17774424
9  180.78127168   180.78127168  180.78127168   180.78127168     0.00000000
10 100.31962829   100.50891786  100.38538176   100.39561492     0.04553990
11   0.00000001   400.00000000  300.00000000   333.33333333    78.88106377
12 231.84830336   239.53573248  233.97430095   234.57970020     2.28289033
