           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    0.00000008   8.91610193   3.98657911   2.91519759 2.42654501
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    1.00700756  10.95519243   6.96948306   6.61315339 1.98116101
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.13505707  11.51146335   1.05448434   2.33710873 2.79463896
7    0.00000001  20.05832785   0.00000001   2.15467252 5.97688278
8    0.00029808  20.20788539   0.65488169   2.02681337 5.11286511
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.11244154 100.34458922 100.27312474 100.26746265 0.04396192
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 158.99354599 159.41896086 1.05416709
