           Best          Worst         Median           Mean            Std
1    0.00000001     0.00118193     0.00000001     0.00005781     0.00021820
2    0.97889735    44.89546932     6.44444205    18.08616577    17.92215195
3    0.00000001     0.00000001     0.00000001     0.00000001     0.00000000
4   15.94807092    35.89843241    25.92208600    26.52632244     5.06548014
5    0.72526236    51.21327927    23.84200226    25.71397929    12.47283065
6  388.73480674 23175.07525938 18776.45876956 13216.08978911 10242.03622177
7    6.16753027    22.80626258    20.69326199    17.95173726     5.42398509
8   20.15254374    21.60747855    21.01101191    20.98186696     0.28864477
9  180.78127168   180.78127168   180.78127168   180.78127168     0.00000000
10  62.69447632   100.47030827   100.39896180    99.14259234     6.76832287
11   0.00000001   400.00000000   300.00000000   313.33333333    95.68466729
12 229.21584299   239.44179590   233.97430095   234.39085275     2.45168921
