           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000445   0.00000001   0.00000016 0.00000080
2    0.00000001   8.91610193   3.98657911   3.68029578 2.86646034
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    2.99104811   9.98768743   6.96959656   6.71488953 1.85219447
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.09514142   6.78659209   1.16550775   1.82478813 1.81179622
7    0.00000001  19.99999985   0.00000001   1.43246198 4.96981156
8    0.00246817  20.02308738   0.63171002   1.47281349 4.11733273
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.14559674 100.36483188 100.29280317 100.28684165 0.04647574
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 158.61835828 159.36904113 1.07300191
