           Best          Worst        Median          Mean            Std
1    0.00000001     0.00419138    0.00000001    0.00018349     0.00075775
2    0.50504430    44.89546932    6.93646613   19.56694791    18.30180276
3    0.00000001     0.00000001    0.00000001    0.00000001     0.00000000
4   15.94447171    38.03929875   26.39946528   26.70837585     5.20617223
5    0.05346408    67.33318931   21.06976862   24.78298736    16.70479049
6  113.65244777 23187.51240938 1007.45867218 8088.68135214 10078.51605023
7    4.54497566    23.13044237   20.60725277   17.69549876     5.86393024
8   19.50779219    21.51888516   20.95949335   20.92576833     0.34029079
9  180.78127168   180.78127168  180.78127168  180.78127168     0.00000000
10 100.32670435   100.51989137  100.38577758  100.39783743     0.04822579
11   0.00000001   400.00000000  300.00000000  310.00000000   113.57816691
12 231.16399123   239.44179590  233.97562916  234.82865794     2.25863827
