           Best         Worst        Median          Mean           Std
1    0.15442090 2184.52937542  225.28055835  459.35311720  529.66031411
2    0.57578251    8.91610204    6.43122845    6.36834256    1.94775749
3    0.00007103    0.00194876    0.00049430    0.00065191    0.00045689
4    5.27618607   22.04180723   10.83303870   11.18338927    3.66958593
5    0.03377138    2.81760467    0.33466882    0.59001287    0.66184403
6  162.11848527 6899.24669365 1879.77409464 2326.02893853 1796.14902445
7    0.00882719   20.12137320    0.40584018    2.43030566    5.90160169
8    1.57398241   21.53530692   15.94035298   13.90453727    7.19102050
9  229.28438271  229.28438271  229.28438271  229.28438271    0.00000000
10 100.24943974  100.52362583  100.35851393  100.37510468    0.06583028
11   0.00091214    0.02034263    0.00330759    0.00444667    0.00398462
12 158.61856079  161.40488076  158.70779839  159.62889695    1.27179750
