             Best           Worst         Median           Mean            Std
1      0.00293979   7369.86620789  2363.31694337  2264.69893390  2023.44010191
2      6.84192818     45.63055572    44.89548555    41.37989039     8.64752027
3      0.00000020      0.00000293     0.00000062     0.00000075     0.00000054
4     17.38351081     40.23973735    29.48780944    29.94035976     5.67217551
5      0.00272219     67.64599231    31.14036302    34.49309059    17.33759957
6  18606.77401225 314849.48976063 24231.19158900 44439.70271583 54443.38039749
7     23.00245997     29.10741982    26.22586470    26.27031819     1.47482421
8     22.03759816     24.12543189    23.20691970    23.15962889     0.47149819
9    180.78127168    180.78127172   180.78127169   180.78127169     0.00000001
10   100.31646976    101.22060938   100.46409435   100.48392807     0.15258869
11   300.00000000    400.34103068   300.00003542   346.69594991    49.92012637
12   233.52659594    240.25069595   235.65647237   236.51927893     2.29999104
