           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    3.98657911   8.91610193   3.98657911   6.12270567 2.44275417
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    0.99495906   7.95966748   3.97983623   3.61567219 1.46450864
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.06502143   0.47394576   0.26044916   0.26404700 0.11279845
7    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
8    0.00004547   0.66462713   0.03994252   0.12380275 0.20897652
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.11268329 100.24561367 100.20179401 100.20007173 0.02906809
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.43526768 161.40488076 160.86226037 0.91698770
