           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   49.08447898  49.08447898  49.08447898  49.08447898  0.00000000
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    5.96975434  12.93445767   8.95463151   8.92274672  1.84193743
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.14621957   9.48715054   0.43738377   1.47159838  2.23629986
7    0.31218892  20.31221100   5.28697028   8.58892585  7.71439130
8    7.25613919  20.84224597  20.34164945  19.33102327  2.93059658
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10 100.19969529 100.28335116 100.23742141 100.23960919  0.02008564
11 300.00000000 400.00000000 300.00000000 310.00000000 30.00000000
12 231.85780966 240.34953640 234.89304365 235.37554026  1.87665943
