           Best         Worst        Median          Mean           Std
1    0.00000222    0.00116555    0.00006235    0.00018557    0.00028342
2   44.89546932   49.08447898   49.08447898   48.66559912    1.25663957
3    0.00000001    0.00000001    0.00000001    0.00000001    0.00000000
4   11.01311131   25.00420652   18.03919289   18.02508968    3.10301737
5    0.00000001    0.00006104    0.00000001    0.00000205    0.00001096
6  105.33967927 7732.64422891 1488.94041440 1978.88277377 2074.52237530
7    5.16028542   23.12300847   13.48870789   15.19316505    6.27919700
8   16.24010677   21.67077566   21.12865555   20.91612694    0.92111370
9  180.78127168  180.78127168  180.78127168  180.78127168    0.00000000
10 100.20095138  200.00000000  100.28426812  103.60885830   17.89941637
11 300.00000000  400.00000000  300.00000000  336.66666667   48.18944098
12 230.81764408  233.97433827  232.45942352  232.56915439    0.86556291
