           Best         Worst       Median          Mean           Std
1    0.00000081    0.00680140   0.00015826    0.00058730    0.00129798
2   44.89546932   49.08447898  49.08447898   48.38631070    1.56115173
3    0.00000001    0.00000001   0.00000001    0.00000001    0.00000000
4   11.98155203   24.26226720  18.55669693   18.71053163    3.08631484
5    0.00000001    0.00000025   0.00000001    0.00000002    0.00000005
6  141.31272440 6686.80784883 868.89898756 1387.41306384 1425.32625046
7    2.21839693   22.78548499  15.63632288   15.08499848    6.83947309
8   13.79213783   21.71454028  21.22290984   20.94920499    1.36939660
9  180.78127168  180.78127168 180.78127168  180.78127168    0.00000000
10 100.19219763  200.00000000 100.27825510  103.60388411   17.90033174
11 300.00000000  400.00000000 300.00000000  336.66666667   48.18944098
12 231.38300689  234.00672063 233.69630235  233.20953389    0.90240744
