           Best        Worst       Median         Mean        Std
1    0.00000009   0.00034555   0.00000410   0.00003886 0.00007444
2    0.13936640   8.91610193   8.91610193   7.19832578 2.44836019
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    2.02950666   9.01053179   4.25548139   4.61319699 1.25543846
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    1.05467608  13.49407111   3.55222309   4.66065171 3.32425941
7    0.00000019   0.13116906   0.00247445   0.00988435 0.02445196
8    0.21039107  20.73245504   0.64041837   1.52171588 3.66563751
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.15407366 100.29434516 100.22108024 100.22238413 0.02989592
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835626 161.40488076 158.61878173 159.26121245 1.09383693
