           Best          Worst       Median          Mean           Std
1    0.00000177     0.00193559   0.00006806    0.00022174    0.00038214
2   44.89546932    49.08447898  49.08447898   48.25292960    1.66339257
3    0.00000001     0.00000001   0.00000001    0.00000001    0.00000000
4   13.16895064    27.95658375  19.52097586   19.43472744    3.44525326
5    0.00000001     0.00001576   0.00000001    0.00000060    0.00000283
6  236.32451582 10308.98474545 725.72947206 1907.40236553 2474.41396944
7    5.65150672    22.96928134  14.80398001   14.69052396    6.39982802
8   17.97867090    21.62230340  21.14069442   21.05030245    0.62901046
9  180.78127168   180.78127168 180.78127168  180.78127168    0.00000000
10 100.21855697   200.00000000 100.29362900  103.61153902   17.89891949
11 300.00000000   400.00000000 300.00000000  336.66666667   48.18944098
12 231.68311270   235.65492041 233.02886290  233.04402773    0.90379117
