           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    0.00000001   8.91610193   3.98657911   5.66118484 2.57595180
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    1.98991811   4.97479529   2.98490280   3.34974813 0.74828541
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.03040566   0.44729766   0.18311590   0.20977999 0.11345603
7    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
8    0.00005042   0.64459845   0.03400606   0.10386986 0.18397919
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.13792344 100.23176678 100.19658207 100.19216386 0.02535859
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 161.40488076 160.64727346 1.09958446
