           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    3.98657911   8.91610193   3.98657911   6.28702309 2.45927806
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    1.98991811   5.96975434   3.97983371   3.65054375 1.03680676
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.02709692   0.46050962   0.16265335   0.20598914 0.12500489
7    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
8    0.00003549   0.62503722   0.02016607   0.05376448 0.11052851
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.11959884 100.25328660 100.20639084 100.20468295 0.02442248
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 162.56737636 161.40488076 160.78940985 1.07450505
