           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   49.08447898  49.08447898  49.08447898  49.08447898  0.00000000
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    4.97479529  14.92438082  10.44706506   9.96191845  2.34661991
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.19949525   6.14927161   0.42714485   0.93499776  1.15339288
7    0.00000001  20.99400678   3.83373249   7.22035340  7.48691421
8    0.15630475  20.78087026  20.39278625  18.17536441  5.16184593
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10 100.19677348 100.28683448 100.23676088 100.23852799  0.02478550
11 300.00000000 400.00000000 300.00000000 310.00000000 30.00000000
12 231.95063763 241.55720366 233.97913084 235.77465404  2.66785816
