           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2    0.00000001   8.91610193   8.91610193   7.17147315  2.81533435
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    2.01225062   6.01550589   4.00462171   3.84013376  0.97906907
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.41157353   2.92430373   2.00407697   1.85333224  0.84447683
7    0.00001877   0.03337492   0.00139180   0.00393761  0.00667529
8    0.89343308   8.09712495   1.69394217   2.36653323  1.80801748
9  229.28438271 229.28438271 229.28438271 229.28438271  0.00000000
10 100.12383152 100.31474983 100.25997334 100.24979992  0.03819745
11   0.00000001 150.42716381   0.00000001   5.01423880 27.00250228
12 158.61836638 163.49483520 159.54377629 160.28937516  1.56765622
