           Best        Worst       Median         Mean          Std
1    0.00000001   0.00000001   0.00000001   0.00000001   0.00000000
2   44.89546932  49.08447898  49.08447898  48.94484532   0.75195025
3    0.00000001   0.00000001   0.00000001   0.00000001   0.00000000
4    7.96661351  15.93022314  10.95383328  11.21006340   1.66290340
5    0.00000001   0.00000001   0.00000001   0.00000001   0.00000000
6    9.08541407 675.89041089  58.15125077  79.22969618 116.98900994
7    3.54794056  22.08983650  10.54284323  12.77616014   6.25594099
8   18.83669402  20.90825793  20.72837666  20.65906717   0.36176562
9  180.78127168 180.78127168 180.78127168 180.78127168   0.00000000
10   0.03123014 200.00000000 100.36616900 103.66008268  31.40882745
11 300.00000000 400.00000000 300.00000000 313.33333333  33.99346342
12 231.09864795 240.70159799 233.13094168 234.02839058   2.88750807
